date,open_NO2,sate_NO2,"T T Nagar, Bhopal - MPPCB"
2021-08-05,6.0675,4377014000000000.0,20.93
2021-08-06,5.7875000000000005,3666466000000000.0,20.83
2021-08-07,5.652083333333333,3540824000000000.0,23.54
2021-08-08,5.309166666666667,4690970000000000.0,22.37
2021-08-09,7.1725,3518480000000000.0,22.41
2021-08-10,6.476666666666666,4093618000000000.0,23.97
2021-08-11,6.930833333333335,4196274000000000.0,23.84
2021-08-12,6.479166666666667,3513748000000000.0,21.23
2021-08-13,4.557083333333334,3640220000000000.0,18.22
2021-08-14,3.724166666666667,3836510000000000.0,20.03
2021-08-15,5.257916666666666,2668680000000000.0,21.38
2021-08-16,9.87125,4726130000000000.0,26.45
2021-08-17,10.777083333333335,4500168000000000.0,30.25
2021-08-18,10.511666666666663,4199188000000000.0,25.43
2021-08-19,7.190416666666668,3602696000000000.0,23.14
2021-08-20,8.067916666666667,3511700000000000.0,23.55
2021-08-21,6.87375,4095356000000000.0,20.66
2021-08-22,5.150833333333333,4560910000000000.0,18.97
2021-08-23,5.302083333333333,4324318000000000.0,20.56
2021-08-24,6.119166666666668,4290234000000000.0,20.27
2021-08-25,6.257083333333333,3995262000000000.0,20.45
2021-08-26,7.075833333333335,3905104000000000.0,18.37
2021-08-27,7.435416666666666,3956488000000000.0,21.8
2021-08-28,10.082916666666666,4107362000000000.0,23.42
2021-08-29,6.872083333333332,3534718000000000.0,26.55
2021-08-30,8.6775,4584742000000000.0,27.69
2021-08-31,5.8425,4247668000000000.0,31.3
2021-09-01,5.91875,4489550000000000.0,24.41
2021-09-02,5.739583333333335,4055380000000000.0,21.77
2021-09-03,10.72625,1517990000000000.0,22.39
2021-09-04,9.695833333333336,4922656000000000.0,26.58
2021-09-05,10.545416666666666,5561020000000000.0,24.21
2021-09-06,12.938333333333334,4298450000000000.0,31.0
2021-09-07,5.298333333333333,4437110000000000.0,25.31
2021-09-08,8.760833333333332,4137974000000000.0,22.85
2021-09-09,7.311666666666667,4004030000000000.0,19.28
2021-09-10,6.946666666666668,4649436000000000.0,20.11
2021-09-11,3.7570833333333336,4011054000000000.0,18.28
2021-09-12,5.112083333333333,4961210000000000.0,20.44
2021-09-13,11.603333333333332,4364856000000000.0,24.44
2021-09-14,9.9575,4236144000000000.0,24.55
2021-09-15,7.393333333333333,3747008000000000.0,23.18
2021-09-16,6.179999999999999,3506902000000000.0,20.42
2021-09-17,4.840833333333332,4169664000000000.0,18.35
2021-09-18,4.297083333333333,3921468000000000.0,16.67
2021-09-19,4.947500000000001,3982490000000000.0,18.2
2021-09-20,6.5125,4250080000000000.0,18.65
2021-09-21,9.85875,5381730000000000.0,19.53
2021-09-22,19.88458333333333,4181366000000000.0,25.12
2021-09-23,9.487916666666663,3227530000000000.0,23.62
2021-09-24,11.69375,3035426000000000.0,22.91
2021-09-25,9.049583333333334,4455942000000000.0,21.38
2021-09-26,11.364999999999997,4344730000000000.0,24.85
2021-09-27,6.050833333333333,4467962000000000.0,23.8
2021-09-28,3.894583333333333,4042486000000000.0,21.28
2021-09-29,10.779583333333331,4425906000000000.0,22.58
2021-09-30,22.11875,3630160000000000.0,27.74
2021-10-01,12.25083333333333,6055270000000000.0,23.03
2021-10-02,7.616666666666667,4200642000000000.0,22.69
2021-10-03,7.302083333333333,3364950000000000.0,21.06
2021-10-04,12.808750000000002,3948766000000000.0,18.86
2021-10-05,15.86375,4790970000000000.0,23.56
2021-10-06,13.61,4132100000000000.0,30.89
2021-10-07,22.55,4677930000000000.0,32.31
2021-10-08,18.71375,4471430000000000.0,36.03
2021-10-09,16.184166666666663,4814160000000000.0,45.37
2021-10-10,23.97541666666667,3709460000000000.0,32.56
2021-10-11,33.01541666666666,4076838000000000.0,32.61
2021-10-12,18.574166666666667,4428110000000000.0,44.01
2021-10-13,16.552500000000002,4313322000000000.0,38.65
2021-10-14,9.643333333333333,4945690000000000.0,37.74
2021-10-15,19.37708333333333,3618414000000000.0,39.76
2021-10-16,7.362500000000002,3664340000000000.0,27.25
2021-10-17,10.570833333333336,3937350000000000.0,54.31
2021-10-18,8.88625,4526878000000000.0,29.55
2021-10-19,10.882916666666668,3722300000000000.0,30.1
2021-10-20,17.05375,3673674000000000.0,35.07
2021-10-21,18.245,4328290000000000.0,33.95
2021-10-22,26.135,4152518000000000.0,21.28
2021-10-23,10.66375,3978880000000000.0,24.7
2021-10-24,16.037916666666668,4310618000000000.0,28.42
2021-10-25,25.995,3262610000000000.0,36.68
2021-10-26,18.42833333333333,1804610000000000.0,39.03
2021-10-27,8.24,3555264000000000.0,32.64
2021-10-28,13.717083333333337,3732270000000000.0,43.14
2021-10-29,14.172083333333331,4429252000000000.0,48.77
2021-10-30,17.247500000000002,3295750000000000.0,52.13
2021-10-31,14.881666666666666,4080826000000000.0,45.92
2021-11-01,21.21333333333333,4000230000000000.0,34.23
2021-11-02,20.0925,4831400000000000.0,43.2
2021-11-03,14.417500000000004,4406436000000000.0,52.39
2021-11-04,18.78375,4545210000000000.0,38.66
2021-11-05,17.910833333333333,4245716000000000.0,63.63
2021-11-06,19.598750000000003,3919170000000000.0,36.94
2021-11-07,15.6568,4335754000000000.0,42.83
2021-11-08,14.51333333333333,4027150000000000.0,48.33
2021-11-09,13.95833333333333,4053072000000000.0,48.91
2021-11-10,12.526666666666666,5014300000000000.0,50.08
2021-11-11,7.91875,6424260000000000.0,39.96
2021-11-12,6.623333333333335,4092414000000000.0,34.75
2021-11-13,6.340833333333332,4016370000000000.0,43.07
2021-11-14,9.426666666666668,4147592000000000.0,49.07
2021-11-15,8.799166666666668,4246440000000000.0,47.8
2021-11-16,7.572500000000001,4029488000000000.0,60.64
2021-11-17,8.254583333333333,3919760000000000.0,44.93
2021-11-18,7.419166666666666,3967200000000000.0,33.55
2021-11-19,7.1258333333333335,4192660000000000.0,26.82
2021-11-20,6.00125,3184550000000000.0,35.54
2021-11-21,6.786666666666666,3824862000000000.0,43.57
2021-11-22,12.82375,3819050000000000.0,44.09
2021-11-23,20.725416666666668,4315222000000000.0,41.08
2021-11-24,28.49458333333333,3967510000000000.0,38.24
2021-11-25,16.650416666666665,4277418000000000.0,35.85
2021-11-26,17.70916666666667,3917480000000000.0,34.21
2021-11-27,10.871250000000002,4421470000000000.0,31.62
2021-11-28,15.54,3760986000000000.0,26.38
2021-11-29,12.36,2940190000000000.0,36.55
2021-11-30,9.042083333333332,4373988000000000.0,32.82
2021-12-01,6.088333333333334,4246994000000000.0,26.03
2021-12-02,6.639999999999998,3601070000000000.0,25.45
2021-12-03,6.604166666666668,4704104000000000.0,26.72
2021-12-04,11.676666666666668,3725840000000000.0,30.62
2021-12-05,13.745833333333332,3595684000000000.0,31.49
2021-12-06,7.200833333333332,5355280000000000.0,28.03
2021-12-07,11.400416666666668,4019566000000000.0,25.22
2021-12-08,15.06,4053800000000000.0,24.21
2021-12-09,14.561249999999996,4721984000000000.0,21.02
2021-12-10,11.21375,3554740000000000.0,28.21
2021-12-11,12.550000000000002,4922704000000000.0,30.32
2021-12-12,12.645,4799870000000000.0,27.2
2021-12-13,9.939583333333331,4621710000000000.0,25.24
2021-12-14,21.64125,4303476000000000.0,34.1
2021-12-15,24.201666666666668,4274950000000000.0,36.16
2021-12-16,12.085416666666667,3854998000000000.0,25.68
2021-12-17,8.057083333333333,3801556000000000.0,23.14
2021-12-18,8.329583333333334,3913714000000000.0,22.23
2021-12-19,17.990833333333335,3533750000000000.0,26.15
2021-12-20,26.515,1488590000000000.0,26.36
2021-12-21,33.260833333333345,4142098000000000.0,30.86
2021-12-22,28.109166666666667,4804750000000000.0,41.58
2021-12-23,20.01333333333333,4576256000000000.0,41.6
2021-12-24,21.77208333333333,3384770000000000.0,21.57
2021-12-25,17.57458333333334,4160644000000000.0,52.29
2021-12-26,13.007083333333334,2987680000000000.0,59.03
2021-12-27,13.727083333333333,4000022000000000.0,43.86
2021-12-28,15.671666666666669,4064992000000000.0,36.46
2021-12-29,7.66375,3756376000000000.0,37.36
2021-12-30,6.87,4122406000000000.0,27.33
2021-12-31,8.604166666666666,3100390000000000.0,27.82
