date,open_SO2,sate_SO2,"Bapuji Nagar, Bengaluru - KSPCB","BTM Layout, Bengaluru - CPCB","BWSSB Kadabesanahalli, Bengaluru - CPCB","City Railway Station, Bengaluru - KSPCB","Hebbal, Bengaluru - KSPCB","Hombegowda Nagar, Bengaluru - KSPCB","Jayanagar 5th Block, Bengaluru - KSPCB","Peenya, Bengaluru - CPCB","Sanegurava Halli, Bengaluru - KSPCB","Silk Board, Bengaluru - KSPCB"
2021-08-05,3.0224999999999995,0.2039365328,8.84,8.5,2.27,7.09,7.41,6.21,6.62,1.83,9.26,6.83
2021-08-06,2.9154166666666668,-0.0619899259999999,10.86,8.49,1.32,6.22,7.44,7.25,4.28,1.58,3.76,7.72
2021-08-07,3.2133333333333334,0.180000007,7.0,8.51,1.46,8.72,7.34,7.55,6.03,1.29,10.57,5.13
2021-08-08,5.284583333333333,-0.035067998,9.31,8.52,2.43,4.08,6.28,6.2,7.31,1.69,4.08,4.53
2021-08-09,5.47125,0.0470055367999999,8.16,8.52,1.86,8.16,6.39,6.68,4.6,2.11,4.0,4.36
2021-08-10,4.135833333333334,-0.0390820996,19.83,8.52,2.45,4.59,6.59,7.39,5.81,1.7,9.13,4.34
2021-08-11,4.179166666666667,0.0030015155999999,3.58,8.48,1.96,7.29,6.78,7.49,6.56,2.24,10.86,3.83
2021-08-12,3.71625,-0.0020554034,8.21,8.53,1.58,6.19,6.63,7.08,6.87,1.8,3.72,4.54
2021-08-13,3.64125,0.0840090642,7.89,8.49,2.04,7.41,6.96,6.57,5.61,1.7,3.9,4.61
2021-08-14,2.865416666666667,0.071980862,6.54,8.51,2.94,6.54,6.78,7.02,5.23,1.86,3.86,4.45
2021-08-15,3.3004166666666666,-0.041027704,6.52,8.49,4.25,6.52,7.58,7.68,5.81,2.29,6.52,4.46
2021-08-16,4.6625,-0.0119768334,7.75,8.53,2.72,7.75,7.38,6.78,5.21,1.65,7.11,4.54
2021-08-17,4.7962500000000015,0.0929974803999999,6.31,8.5,2.44,7.24,7.15,7.04,4.8,1.9,7.24,4.49
2021-08-18,3.6025,-0.0399617233999999,16.08,8.49,1.88,8.7,7.64,8.25,4.85,1.82,4.56,4.47
2021-08-19,4.196666666666666,-0.0459889166,11.8,8.49,1.22,8.13,7.1,7.23,5.94,1.75,5.7,4.38
2021-08-20,4.937499999999999,-0.0280282101999999,11.2,8.49,3.19,6.89,7.31,6.66,5.49,2.1,9.6,8.49
2021-08-21,6.992083333333333,-0.0030438226,14.06,8.5,1.28,5.85,7.13,7.73,5.4,1.78,6.31,4.69
2021-08-22,12.830416666666666,0.0779687692,12.71,8.51,4.57,7.13,7.23,7.32,5.09,2.07,5.41,4.44
2021-08-23,11.63125,0.0519627291999999,10.53,8.49,2.32,6.35,5.76,6.94,8.22,2.05,5.97,4.45
2021-08-24,7.543333333333333,-0.0909763278,10.51,8.51,1.28,6.53,5.82,6.16,4.53,1.75,5.83,4.33
2021-08-25,6.748333333333334,0.1379969788,12.65,8.47,2.05,8.46,5.96,7.06,4.61,1.89,11.76,4.59
2021-08-26,6.1483333333333325,0.024008058,9.55,8.5,1.14,8.66,5.7,7.14,7.86,1.72,4.84,4.59
2021-08-27,5.853749999999999,0.2439486284,7.57,8.49,2.5,8.18,4.82,6.58,5.36,1.83,13.97,4.52
2021-08-28,3.19625,0.0709864024,8.06,8.51,1.15,9.62,6.25,6.89,4.19,2.06,6.34,4.61
2021-08-29,3.10875,0.0160171248,6.31,8.53,1.78,7.8,6.53,6.41,6.5,1.7,7.22,4.63
2021-08-30,3.9045833333333335,0.0569994955999999,5.44,8.49,1.06,9.2,6.81,6.86,7.12,1.66,16.3,4.52
