date,open_SO2,sate_SO2,"FTI Kidwai Nagar, Kanpur - UPPCB","Nehru Nagar, Kanpur - UPPCB","NSI Kalyanpur, Kanpur - UPPCB"
2021-04-04,17.926250000000003,0.0386568148,9.138000000000002,18.31,14.63
2021-04-05,29.67958333333333,0.108465612,8.193999999999999,32.52,16.405
2021-04-06,24.145416666666662,0.103814028,9.171,24.91,15.141666666666666
2021-04-07,19.835,-0.026309509,8.233,20.73,18.148333333333333
2021-04-08,22.02833333333333,0.0394990859999999,7.331,18.42,15.105000000000002
2021-04-09,17.24625,-0.02,7.456,16.87,17.661666666666665
2021-04-10,14.48875,-0.106299058,8.095999999999998,14.7,19.275
2021-04-11,16.133750000000003,0.258911133,11.457,27.79,20.531666666666663
2021-04-12,18.234583333333333,0.164504543,10.486,24.3,22.125
2021-04-13,24.46791666666667,0.145783201,8.72,21.24,18.51666666666667
2021-04-14,20.544166666666666,0.027728256,7.187,23.93,18.095
2021-04-15,25.56041666666667,0.0463071398,8.693,32.69,17.378333333333334
2021-04-16,32.400416666666665,0.059270863,8.338,37.66,24.275
2021-04-17,10.5775,0.0648615572,7.062,15.34,30.524999999999995
2021-04-18,16.5625,0.922302902,8.323,15.92,14.89465892972276
2021-04-19,23.1075,1.78174186,7.202,26.53,20.375
2021-04-20,28.884583333333328,0.219082192,7.790999999999999,36.77,19.07333333333333
2021-04-21,11.691666666666668,0.064431563,6.837999999999999,19.45,19.115
2021-04-22,12.4175,0.128359288,9.429999999999998,15.87,21.64
2021-04-23,15.23375,0.292131633,9.322222222222225,17.81,22.485
2021-04-24,12.304166666666667,0.000233604,8.493333333333332,16.58,22.043333333333333
2021-04-25,17.693333333333335,0.090000004,7.791111111111111,17.39,23.465
2021-04-26,27.292916666666667,0.024708295,7.051,17.34,23.45
2021-04-27,33.68125,0.131813243,7.037000000000001,34.0,23.285
2021-04-28,21.512916666666666,-0.097053804,7.777000000000001,34.06,21.881666666666664
2021-04-29,20.614166666666662,0.175248951,11.003,27.56,22.541666666666668
2021-04-30,16.070416666666667,-0.011161264,8.243,20.91,26.08833333333333
2021-05-01,9.214166666666666,0.0568389862,10.351,21.93,23.884999999999994
2021-05-02,16.3725,-0.0092173446,7.218999999999999,18.49,23.096666666666668
2021-05-03,11.956666666666663,0.112128282,8.926,22.06,24.121666666666663
2021-05-04,11.996249999999996,-0.136078179,7.154000000000001,18.14,24.368333333333336
2021-05-05,15.140416666666672,0.043429982,7.975999999999999,20.15,23.951666666666668
2021-05-06,13.06875,-0.098613322,7.878,20.24,23.871666666666663
2021-05-07,11.484583333333331,0.096759126,7.406999999999999,16.85,22.58666666666667
2021-05-08,16.386250000000004,0.141771927,7.406000000000001,17.74,26.74833333333333
2021-05-09,15.865,0.217198834,5.8340000000000005,16.27,20.214
2021-05-10,15.368333333333332,0.037573317,6.147500000000001,15.3,23.063333333333333
2021-05-11,17.767083333333332,-0.119999997,5.98,20.55,22.465000000000003
2021-05-12,12.882916666666665,-0.122949392,6.825,17.43,21.916666666666668
2021-05-13,11.745,0.0910246538,6.245,15.38,21.616666666666664
2021-05-14,14.454583333333334,0.051541537,6.658000000000001,16.55,22.715
2021-05-15,12.27625,0.054019254,6.739999999999999,18.66,21.965
2021-05-16,12.363333333333332,0.033657461,5.9510000000000005,17.49,23.451666666666668
2021-05-17,18.268750000000008,0.0651150854,5.006,16.41,20.725
2021-05-18,10.347083333333334,0.070577691,6.206,15.85,19.116666666666667
2021-05-19,6.956250000000001,0.0372791246,5.137,16.02,18.67
2021-05-20,10.253749999999998,0.1133923084,6.008888888888889,15.02,21.92833333333333
2021-05-21,14.24791666666666,-0.074650519,6.467777777777778,19.61,19.404000000000003
2021-05-22,12.355416666666668,0.069985867,6.082222222222222,17.47,20.8
2021-05-23,12.016249999999998,0.023034873,5.307777777777777,15.82,22.69333333333334
2021-05-24,15.5775,0.15775077,5.222,18.95,24.77333333333333
2021-05-25,12.577083333333334,-0.146546602,6.558000000000002,17.64,27.296666666666667
2021-05-26,8.574583333333333,0.0591319525999999,6.141,15.88,22.183333333333334
2021-05-27,7.838333333333335,0.006117596,7.001,15.03,22.411666666666665
2021-05-28,6.8016666666666685,-0.090000004,6.788000000000001,14.65,26.421666666666663
2021-05-29,6.992500000000001,0.452522129,6.126,13.53,21.883333333333336
2021-05-30,7.041249999999999,-0.140109465,6.072,14.55,20.793333333333333
2021-05-31,18.130416666666665,-0.061210692,7.241,18.43,26.21833333333333
2021-06-01,11.786249999999995,0.012510459,6.335,14.79,22.136666666666667
2021-06-02,17.79125,0.0303858145999999,6.288,20.13,19.06625
2021-06-03,16.085000000000004,0.17040512,6.858000000000001,16.91,18.16875
2021-06-04,15.373333333333331,0.1562336902,6.485000000000001,18.55,15.619999999999996
2021-06-05,16.178333333333338,0.093056671,6.7090000000000005,14.71,16.294444444444444
2021-06-06,14.965000000000003,0.013399477,6.463333333333332,14.32,18.00111111111111
2021-06-07,16.158333333333335,0.052346066,6.484999999999999,29.52,18.61
2021-06-08,13.655,-0.079460315,8.116999999999999,11.71,21.02555555555556
2021-06-09,11.564583333333331,-0.010080747,5.261111111111111,15.24,23.98333333333333
2021-06-10,9.437083333333334,-0.029999999,7.680999999999999,8.94,21.85111111111111
2021-06-11,11.692083333333334,0.0316330553999999,6.714,10.71,20.271111111111107
2021-06-12,5.417083333333334,0.0708487302,7.718999999999999,13.22,22.15222222222222
2021-06-13,4.782916666666668,0.270000011,7.275,15.35,18.715000000000003
2021-06-14,6.777083333333334,-0.0522482395999999,7.919999999999999,14.28,19.56
2021-06-15,9.386250000000002,-0.041555956,6.767,13.52,17.14
2021-06-16,11.71291666666667,0.05686269,6.119,9.6,16.473333333333333
2021-06-17,7.687499999999999,0.1071383709999999,6.604444444444444,9.47,14.411818181818182
2021-06-18,7.84,-0.0076852752,6.641111111111112,10.34,15.864545454545455
2021-06-19,12.312499999999998,0.0472427133999999,6.539,10.05,13.84083333333333
2021-06-20,12.68583333333333,0.121185725,5.851111111111111,11.07,13.779166666666669
2021-06-21,12.667916666666668,0.111056395,6.453333333333333,9.94,13.748333333333337
2021-06-22,8.412083333333333,0.081501372,7.212999999999999,12.04,12.921666666666669
2021-06-23,7.009166666666666,0.065324403,7.344444444444444,10.1,13.994545454545454
2021-06-24,9.344166666666666,-0.0423684601999999,6.583000000000001,9.52,13.645454545454548
2021-06-25,8.775,0.012660133,7.112,11.93,12.316363636363636
2021-06-26,5.814583333333334,0.039538059,7.595999999999999,11.02,14.07909090909091
2021-06-27,6.00125,0.0052192957999999,5.769,12.9,12.244545454545454
2021-06-28,11.810000000000002,0.0557722714,6.567,11.52,13.413636363636368
2021-06-29,14.697916666666666,0.082681559,7.665000000000001,13.54,13.204545454545457
2021-06-30,14.980833333333337,0.404725671,6.472,13.88,14.064545454545453
2021-07-01,11.76833333333333,0.038751751,6.231,12.96,14.546363636363637
2021-07-02,12.919583333333334,-0.019606497,6.012,13.89,15.120833333333332
2021-07-03,13.770833333333334,0.047711942,6.101999999999999,14.18,14.225
2021-07-04,11.271666666666668,0.1217936402,4.921000000000001,13.61,18.92083333333333
2021-07-05,13.91875,0.203888208,6.975,14.07,18.901666666666667
2021-07-06,18.541666666666668,0.0710925048,5.65,12.21,14.696363636363635
2021-07-07,16.60041666666667,-0.02,4.956666666666667,12.74,12.885
2021-07-08,11.249166666666667,0.0543045234,5.843333333333334,13.94,13.725384615384616
2021-07-09,5.690416666666667,-0.0103140265999999,5.1240000000000006,12.43,7.15
2021-07-10,5.114583333333334,-0.019868042,5.264000000000001,13.25,6.57
2021-07-11,5.7387500000000005,-0.1103531107999999,4.843999999999999,13.58,4.25
2021-07-12,6.407083333333333,-0.0164386731999999,5.308,10.72,5.17
2021-07-13,7.639583333333333,0.0927840948,6.105,5.66,4.76
2021-07-14,7.530416666666665,0.0899858802,6.057,6.39,12.71
2021-07-15,8.387083333333331,-0.209999993,6.062,6.8,8.99
2021-07-16,11.005000000000004,0.032255836,7.055,7.08,3.57
2021-07-17,11.747916666666669,-0.2100511142,6.983,7.94,3.71
2021-07-18,12.124166666666667,0.064584804,4.946000000000001,8.71,3.01
2021-07-19,17.84208333333333,-0.0259901806,5.200000000000001,7.44,2.99
2021-07-20,13.665416666666664,-0.1064297172,5.784444444444445,8.13,2.97
2021-07-21,14.893750000000002,-0.029807071,5.415555555555556,8.09,3.07
2021-07-22,8.268333333333334,0.0409797957999999,6.747777777777777,8.39,3.98
2021-07-23,7.172916666666666,0.0757185653999999,4.992222222222221,7.64,4.37
2021-07-24,4.625833333333334,0.113423578,5.594444444444444,7.94,5.32
2021-07-25,7.647500000000001,-0.0411648929999999,5.324444444444444,7.82,5.19
2021-07-26,9.154583333333331,0.0776677608,5.76,9.13,3.85
2021-07-27,15.525833333333331,0.1943949544,4.954000000000001,9.8,4.64
2021-07-28,10.927499999999997,0.1387919044,6.19,8.09,6.18
2021-07-29,12.00666666666667,-0.1159471659999999,5.858888888888889,9.1,6.34
2021-07-30,9.0325,0.0435800356,6.407777777777778,8.82,7.73
2021-07-31,5.655833333333333,0.310000002,6.44,11.19,7.83
2021-08-01,5.286666666666668,0.0765209287999999,9.079999999999998,8.25,4.77
2021-08-02,6.044583333333333,0.1189611302,7.833000000000001,9.05,6.19
2021-08-03,5.780833333333334,0.110877391,6.483,8.72,5.32
2021-08-04,6.757916666666669,0.1138967178,6.352000000000001,10.1,6.61
2021-08-05,6.944166666666667,0.0516731031999999,7.821,8.26,5.5
2021-08-06,8.206666666666665,-0.080974461,8.552000000000001,9.98,5.59
2021-08-07,7.556250000000001,0.1766096898,8.284,9.3,4.4
2021-08-08,9.07291666666667,0.1423643104,8.779,9.4,5.01
2021-08-09,18.299166666666668,-0.0391720686,8.55,8.8,4.46
2021-08-10,14.115,-0.0552763234,7.705,9.33,4.52
2021-08-11,10.83875,-0.050000001,6.168000000000001,8.91,4.88
2021-08-12,11.64875,0.0211133645999999,7.702000000000001,9.29,4.43
2021-08-13,11.246250000000002,0.0333685176,6.353999999999999,9.45,4.66
2021-08-14,8.992916666666666,0.1402617022,6.639000000000001,9.4,5.22
2021-08-15,10.709166666666668,-0.0131397324,7.084999999999999,9.66,5.46
2021-08-16,19.19291666666667,0.150000006,7.695,9.53,10.65
2021-08-17,14.147500000000004,0.0037692951999999,7.813999999999998,9.22,4.7
2021-08-18,9.07,0.033564456,6.509,10.32,5.96
2021-08-19,8.375,-0.0667880771999999,6.703000000000001,9.11,7.48
2021-08-20,13.510833333333338,0.1629393812,6.427,10.43,4.62
2021-08-21,9.631666666666666,-0.0866936869999999,8.059000000000001,9.56,4.93
2021-08-22,10.070833333333336,-0.0203016565999999,7.317777777777778,9.83,5.14
2021-08-23,13.470416666666663,0.0577055785999999,6.568888888888889,10.95,5.13
2021-08-24,13.205416666666666,0.1433635362,6.473333333333335,7.77,5.19
2021-08-25,11.697499999999998,0.090000004,7.532000000000001,10.66,5.2
2021-08-26,12.394166666666663,0.0,7.471999999999999,9.99,6.11
2021-08-27,12.545,0.1369452588,6.327777777777778,9.51,5.59
2021-08-28,7.523333333333334,0.093313587,6.785,9.15,5.77
2021-08-29,5.887083333333333,-0.029660869,6.661250000000001,5.01,5.59
2021-08-30,6.222499999999999,-0.0153485801999999,6.75111111111111,6.55,5.47
2021-08-31,8.558333333333334,0.0957171504,7.308888888888889,6.62,5.57
2021-09-01,10.067916666666669,0.140000001,11.34222222222222,6.82,6.06
2021-09-02,13.342083333333331,0.18974179,9.537777777777777,7.29,5.54
2021-09-03,17.705833333333334,0.1012890094,0.49,7.55,7.19
2021-09-04,15.3075,0.101220809,1.59,8.06,4.68
2021-09-05,12.225,0.0984150243999999,2.96,8.47,5.12
2021-09-06,7.373333333333334,-0.0228574059999999,3.06,7.85,5.87
2021-09-07,5.963333333333334,-0.130934362,3.03,8.56,5.44
2021-09-08,9.169166666666667,-0.0046078165999999,3.03,8.94,5.19
2021-09-09,14.579583333333336,-0.0566425484,3.0,10.49,5.55
2021-09-10,12.084166666666668,0.109999999,3.12,9.67,5.61
2021-09-11,8.253333333333334,0.0546899921999999,3.13,12.57,5.86
2021-09-12,7.766249999999999,-0.007962675,3.36,11.19,5.85
2021-09-13,6.651250000000001,-0.063266203,3.08,13.33,6.05
2021-09-14,4.342083333333333,-0.0512524392,3.19,13.11,5.7
2021-09-15,7.744583333333332,0.0467033127999999,3.24,12.03,6.51
2021-09-16,11.789166666666668,0.0627775102,3.59,12.39,5.24
2021-09-17,8.214166666666666,0.0333874108,3.38,12.64,5.42
2021-09-18,6.1375,0.0930384662,3.31,13.64,6.02
2021-09-19,8.844583333333334,0.167264059,3.31,13.09,5.42
2021-09-20,9.912083333333332,0.1884005658,3.42,14.75,5.35
2021-09-21,8.442499999999997,-0.74000001,3.67,12.78,9.53
2021-09-22,6.71875,0.13392325,3.82,13.05,4.41
2021-09-23,6.81416666666667,-0.0070852016,3.9,12.31,4.63
2021-09-24,13.74875,0.2205030612,3.91,13.39,4.84
2021-09-25,10.247083333333334,-0.0587741563999999,3.93,14.91,5.43
2021-09-26,6.54,0.019452609,3.67,16.88,5.13
2021-09-27,6.007083333333331,0.0279961697999999,3.68,16.67,5.72
2021-09-28,6.713333333333335,0.182421297,3.84,11.28,5.7
2021-09-29,7.914166666666666,0.1898715943999999,4.1,12.55,8.8
2021-09-30,8.434583333333334,-0.01784135,4.19,15.31,5.76
2021-10-01,10.699166666666663,0.0272051564,4.25,12.8,5.91
2021-10-02,11.494166666666668,0.1606495738,4.23,11.97,6.17
2021-10-03,9.854583333333332,0.243304305,4.44,19.89,6.34
2021-10-04,15.505833333333335,0.235284768,4.44,15.55,6.7
2021-10-05,18.84083333333333,0.194339544,4.53,7.9,6.36
2021-10-06,21.120416666666667,-0.0816144958,4.57,4.49,7.94
2021-10-07,16.72,-0.128739387,4.77,6.47,6.46
2021-10-08,15.525,0.0451294392,4.77,47.24,7.17
2021-10-09,12.17,0.181650728,5.14,76.5,7.79
2021-10-10,18.15083333333333,0.0771886068,5.13,47.38,9.05
2021-10-11,24.32916666666667,0.274293214,5.64,14.59,7.5
2021-10-12,33.00208333333334,-0.142290846,6.5,9.45,9.58
2021-10-13,21.955,-0.0373718008,11.99,16.93,8.41
2021-10-14,17.236666666666668,0.019458273,13.76,13.59,8.98
2021-10-15,29.59625000000001,-0.2785754715999999,17.24,12.14,11.43
2021-10-16,9.398749999999998,-0.075460993,15.85,6.99,10.12
2021-10-17,6.2420833333333325,0.0575190068,14.27,4.69,11.05
2021-10-18,10.855833333333331,0.0084039822,12.51,6.46,9.0
