date,open_NO2,sate_NO2,"Shrinath Puram, Kota - RSPCB"
2021-11-11,30.082499999999992,6557750000000000.0,35.67
2021-11-12,26.589583333333334,5931274000000000.0,35.45
2021-11-13,21.857916666666668,5843450000000000.0,35.59
2021-11-14,22.847916666666663,4878608000000000.0,35.56
2021-11-15,24.226666666666663,4788740000000000.0,35.59
2021-11-16,15.345,4759938000000000.0,46.96
2021-11-17,15.119166666666668,6193254000000000.0,49.01
2021-11-18,11.570416666666668,4209414000000000.0,68.99
2021-11-19,11.185000000000002,6286028000000000.0,43.81
2021-11-20,9.917916666666668,4918840000000000.0,21.12
2021-11-21,15.465833333333336,5584050000000000.0,15.57
2021-11-22,19.06,3602260000000000.0,20.67
2021-11-23,32.600833333333334,4790454000000000.0,20.78
2021-11-24,22.44833333333333,4454230000000000.0,15.27
2021-11-25,28.418750000000003,3910658000000000.0,14.48
2021-11-26,31.808333333333326,5216270000000000.0,12.31
2021-11-27,16.960416666666664,5176530000000000.0,12.16
2021-11-28,20.34125,4919688000000000.0,11.56
2021-11-29,34.63041666666668,8146160000000000.0,11.61
2021-11-30,22.034166666666664,4570010000000000.0,10.73
2021-12-01,14.7925,5457462000000000.0,9.81
2021-12-02,12.491666666666667,4771452000000000.0,8.97
2021-12-03,17.247083333333332,4884480000000000.0,8.92
2021-12-04,21.0275,8130770000000000.0,29.11
2021-12-05,9.39125,5526974000000000.0,43.15
2021-12-06,15.101249999999997,5900100000000000.0,31.29
2021-12-07,22.812500000000004,5357240000000000.0,27.64
2021-12-08,21.62041666666667,5481570000000000.0,22.77
2021-12-09,22.30708333333333,5341290000000000.0,21.09
2021-12-10,24.754583333333333,5248250000000000.0,22.83
2021-12-11,21.670416666666668,4351700000000000.0,26.5
2021-12-12,17.225416666666664,4619730000000000.0,25.18
2021-12-13,24.41125,4909770000000000.0,25.39
2021-12-14,14.576666666666664,5455414000000000.0,24.3
2021-12-15,19.90958333333333,4158350000000000.0,22.29
2021-12-16,12.44625,4577730000000000.0,23.26
2021-12-17,17.202499999999997,5133320000000000.0,19.64
2021-12-18,18.55375,5622440000000000.0,19.91
2021-12-19,25.46833333333333,5940500000000000.0,26.29
2021-12-20,36.39375,8086110000000000.0,31.95
2021-12-21,45.66874999999999,5270396000000000.0,33.2
2021-12-22,32.49458333333333,9603670000000000.0,39.82
2021-12-23,32.14374999999999,5979108000000000.0,33.08
2021-12-24,27.42625,4262060000000000.0,28.99
2021-12-25,16.78333333333333,5439924000000000.0,32.44
2021-12-26,14.794166666666673,5300280000000000.0,28.36
2021-12-27,15.178333333333336,3132908600000000.0,27.32
2021-12-28,11.174166666666666,6409130000000000.0,20.55
2021-12-29,17.52166666666667,4967620000000000.0,24.0
2021-12-30,11.395833333333334,4463042000000000.0,21.89
2021-12-31,16.008750000000003,4455948000000000.0,23.97
