date,open_SO2,sate_SO2,"Bollaram Industrial Area, Hyderabad - TSPCB","Central University, Hyderabad - TSPCB","ECIL Kapra, Hyderabad - TSPCB","ICRISAT Patancheru, Hyderabad - TSPCB","IDA Pashamylaram, Hyderabad - TSPCB","IITH Kandi, Hyderabad - TSPCB"
2021-04-26,21.596666666666664,-0.25,13.05,3.33,13.05,7.79,1.37,1.37
2021-04-27,35.763333333333335,0.0599999978,4.48,3.74,4.48,9.7,2.07,2.07
2021-04-28,44.35666666666666,0.1060000005999999,20.19,3.54,20.19,7.83,2.01,2.01
2021-04-29,30.90041666666667,0.3979999804,24.51,3.42,24.51,8.4,2.84,2.84
2021-04-30,24.73083333333333,-0.0940000028,13.72,1.94,13.72,7.94,0.86,0.86
2021-05-01,15.925000000000002,-0.0100000001999999,14.3,2.72,14.3,7.96,1.84,1.84
2021-05-02,26.156250000000004,0.039999999,6.78,2.4,6.78,7.28,2.36,2.36
2021-05-03,27.29833333333333,0.219999999,6.73,4.28,6.73,6.76,2.28,2.28
2021-05-04,39.13625,-0.0519999988,5.74,2.79,5.74,5.66,2.86,2.86
2021-05-05,23.30625000000001,0.1859999967999999,6.87,1.23,6.87,7.28,1.57,1.57
2021-05-06,23.429166666666664,0.0119999996,6.66,2.39,6.66,8.0,1.91,1.91
2021-05-07,21.934583333333336,0.0559999935999999,3.4,1.67,3.4,7.51,0.88,0.88
2021-05-08,15.304166666666664,0.0380000016,7.65,1.99,7.65,8.37,2.77,2.77
2021-05-09,30.85583333333334,0.1319999976,3.67,2.33,3.67,8.1,0.87,0.87
2021-05-10,22.525416666666672,-0.0340000041999999,4.96,2.62,4.96,7.35,1.68,1.68
2021-05-11,16.450833333333335,0.0299999949999999,5.13,1.86,5.13,8.06,2.07,2.07
2021-05-12,12.312916666666665,-0.319999993,2.81,1.59,2.81,7.4,1.6,1.6
2021-05-13,15.482916666666666,0.0299999976,4.71,2.15,4.71,7.84,4.05,4.05
2021-05-14,17.405416666666667,0.0159999986,4.96,2.44,4.96,7.94,2.42,2.42
2021-05-15,7.717083333333334,0.1979999968,2.94,1.05,2.94,6.4,1.89,1.89
2021-05-16,13.295833333333334,0.0659999991999999,2.38,0.73,2.38,6.66,1.24,1.24
2021-05-17,14.97166666666667,-0.0459999984,3.72,1.97,3.72,6.08,1.15,1.15
2021-05-18,13.22041666666667,0.5299999982,1.86,1.74,1.86,7.48,0.79,0.79
2021-05-19,10.121666666666664,-0.129999995,2.49,1.37,2.49,6.37,3.35,3.35
2021-05-20,10.972916666666668,0.1400000014,4.61,1.65,4.61,8.55,2.0,2.0
