date,open_NO2,sate_NO2,"Marhatal, Jabalpur - MPPCB"
2021-08-05,3.91375,3966540000000000.0,18.51
2021-08-06,4.15125,4057868000000000.0,17.49
2021-08-07,3.334583333333333,4027838000000000.0,21.75
2021-08-08,3.817083333333333,4412682000000000.0,18.34
2021-08-09,4.498749999999999,3881580000000000.0,20.51
2021-08-10,4.260416666666666,4048712000000000.0,22.66
2021-08-11,5.816250000000001,3975862000000000.0,23.54
2021-08-12,5.772083333333334,3786894000000000.0,26.24
2021-08-13,3.992083333333335,4371010000000000.0,25.62
2021-08-14,4.895833333333333,3649746000000000.0,25.76
2021-08-15,6.448333333333334,3676428000000000.0,22.74
2021-08-16,9.4,4250904000000000.0,29.57
2021-08-17,7.375833333333335,3905014000000000.0,31.31
2021-08-18,8.971666666666668,4339644000000000.0,31.07
2021-08-19,6.028333333333335,3824798000000000.0,27.24
2021-08-20,8.599583333333333,3232262000000000.0,26.44
2021-08-21,6.097083333333334,4292064000000000.0,20.42
2021-08-22,3.915416666666667,3851350000000000.0,16.63
2021-08-23,5.3429166666666665,4432110000000000.0,19.22
2021-08-24,4.187916666666667,3663760000000000.0,22.69
2021-08-25,4.85875,4178234000000000.0,24.05
2021-08-26,5.007916666666668,3798270000000000.0,24.88
2021-08-27,9.025416666666668,3866606000000000.0,27.46
2021-08-28,7.383750000000002,3807604000000000.0,26.53
2021-08-29,10.039583333333333,4463332000000000.0,29.21
2021-08-30,6.819583333333331,4237958000000000.0,22.77
2021-08-31,4.097083333333333,4665680000000000.0,19.4
2021-09-01,3.9237500000000014,4308650000000000.0,16.41
2021-09-02,7.482083333333335,4192704000000000.0,22.62
2021-09-03,10.15,4145420000000000.0,19.54
2021-09-04,7.282083333333332,4615200000000000.0,21.06
2021-09-05,10.294583333333334,4791220000000000.0,25.06
2021-09-06,12.235416666666666,4130592000000000.0,31.86
2021-09-07,8.1925,4293298000000000.0,21.31
2021-09-08,4.721250000000001,4605922000000000.0,16.83
2021-09-09,6.729166666666669,3935850000000000.0,19.57
2021-09-10,5.019166666666666,4133194000000000.0,20.4
2021-09-11,9.588333333333331,3277520000000000.0,19.72
2021-09-12,6.026666666666667,4038680000000000.0,20.84
2021-09-13,5.826249999999999,4151662000000000.0,22.49
2021-09-14,5.4212500000000015,3865268000000000.0,21.31
2021-09-15,5.290416666666666,4151872000000000.0,22.47
2021-09-16,3.7616666666666663,4246672000000000.0,18.54
2021-09-17,4.17625,4863408000000000.0,22.96
2021-09-18,6.39375,4454060000000000.0,19.78
2021-09-19,8.42,4178970000000000.0,19.4
2021-09-20,8.30166666666667,3924540000000000.0,18.08
2021-09-21,11.37333333333333,4698620000000000.0,21.64
2021-09-22,5.961666666666669,4598386000000000.0,24.98
2021-09-23,10.676666666666664,4279712000000000.0,22.54
2021-09-24,6.637499999999999,3215573200000000.0,16.98
2021-09-25,9.090416666666666,4171038000000000.0,19.55
2021-09-26,7.237083333333333,4842370000000000.0,24.1
2021-09-27,7.579999999999999,4946470000000000.0,19.82
2021-09-28,4.22,3800580000000000.0,18.14
2021-09-29,7.846666666666668,4552668000000000.0,16.85
2021-09-30,12.942083333333334,6679430000000000.0,19.25
2021-10-01,7.521249999999999,5126624000000000.0,25.17
2021-10-02,7.903750000000001,4611890000000000.0,25.93
2021-10-03,4.160833333333334,2842050000000000.0,22.93
2021-10-04,11.612083333333333,3959738000000000.0,22.76
2021-10-05,16.36,6545370000000000.0,20.01
2021-10-06,13.362916666666663,2879029200000000.0,23.56
2021-10-07,11.357083333333334,5160290000000000.0,27.12
2021-10-08,18.185416666666665,4942026000000000.0,28.7
2021-10-09,13.734583333333331,4540530000000000.0,36.58
2021-10-10,12.696666666666667,4339244000000000.0,39.06
2021-10-11,14.0775,3930800000000000.0,43.01
2021-10-12,16.450416666666666,3577290000000000.0,42.14
2021-10-13,6.257916666666667,4464700000000000.0,42.45
2021-10-14,7.176666666666666,3535330000000000.0,47.79
2021-10-15,6.743333333333333,3801330000000000.0,49.13
2021-10-16,5.011666666666667,4740920000000000.0,36.85
2021-10-17,6.180416666666666,4405970000000000.0,27.36
2021-10-18,5.026666666666667,4450260000000000.0,23.48
2021-10-19,11.565000000000005,2870160000000000.0,32.57
2021-10-20,12.665416666666664,4122174000000000.0,41.08
2021-10-21,10.309166666666666,3719560000000000.0,45.97
2021-10-22,17.712500000000002,4403872000000000.0,43.98
2021-10-23,12.169166666666667,3520320000000000.0,40.79
2021-10-24,13.50416666666667,3893616000000000.0,40.75
2021-10-25,11.317500000000004,3326380000000000.0,43.99
2021-10-26,6.750416666666666,4474720000000000.0,36.97
2021-10-27,5.09875,4405486000000000.0,35.41
2021-10-28,6.746666666666666,3172000000000000.0,49.62
2021-10-29,7.498333333333334,3432476000000000.0,63.63
2021-10-30,9.029166666666669,4420560000000000.0,65.34
2021-10-31,10.581666666666663,4190506000000000.0,57.97
2021-11-01,10.0475,3974350000000000.0,54.88
2021-11-02,9.084166666666668,4414746000000000.0,49.24
2021-11-03,9.032083333333333,3754180000000000.0,62.39
2021-11-04,8.97,4215100000000000.0,62.47
2021-11-05,10.759999999999998,2714947200000000.0,52.81
2021-11-06,11.53,3739520000000000.0,50.16
2021-11-07,9.6696,3958216000000000.0,56.52
2021-11-08,11.545833333333334,3660950000000000.0,61.87
2021-11-09,9.8375,4653030000000000.0,67.03
2021-11-10,8.052083333333334,4059190000000000.0,73.41
2021-11-11,5.709583333333335,4891640000000000.0,64.74
2021-11-12,5.607083333333333,5342830000000000.0,55.96
2021-11-13,5.53625,5357450000000000.0,56.81
2021-11-14,5.795416666666667,3500778000000000.0,61.62
2021-11-15,6.556666666666668,4439540000000000.0,66.97
2021-11-16,5.922500000000002,3236553200000000.0,52.93
2021-11-17,7.1258333333333335,4862260000000000.0,52.77
2021-11-18,6.217916666666667,4096884000000000.0,56.19
2021-11-19,7.375833333333333,4729640000000000.0,60.01
2021-11-20,8.80125,4015542000000000.0,51.35
2021-11-21,8.354999999999999,3837302000000000.0,58.02
2021-11-22,8.109583333333333,5160350000000000.0,64.71
2021-11-23,12.35,3832394000000000.0,75.86
2021-11-24,15.622916666666669,4340320000000000.0,76.07
2021-11-25,10.43083333333333,4729608000000000.0,60.55
2021-11-26,12.822916666666664,3362450000000000.0,63.65
2021-11-27,10.377916666666666,4760502000000000.0,53.43
2021-11-28,9.478333333333332,4821110000000000.0,54.82
2021-11-29,12.886666666666663,4743270000000000.0,65.55
2021-11-30,8.484583333333335,4296964000000000.0,48.7
2021-12-01,8.193333333333333,5738240000000000.0,39.43
2021-12-02,11.163333333333334,4184526000000000.0,49.68
2021-12-03,11.658333333333331,4515878000000000.0,42.24
2021-12-04,6.565416666666667,4969780000000000.0,58.65
2021-12-05,6.884583333333334,5048220000000000.0,52.2
2021-12-06,5.557083333333334,7788840000000000.0,54.66
2021-12-07,5.66125,2912372000000000.0,44.11
2021-12-08,6.254583333333333,5799580000000000.0,38.48
2021-12-09,6.6620833333333325,5290892000000000.0,41.21
2021-12-10,7.609999999999999,3359800000000000.0,51.16
2021-12-11,10.1075,4334138000000000.0,50.07
2021-12-12,10.972916666666665,3527840000000000.0,52.48
2021-12-13,11.678333333333333,4498746000000000.0,48.24
2021-12-14,10.088333333333331,5012170000000000.0,38.09
2021-12-15,14.000416666666665,3180600000000000.0,38.57
2021-12-16,12.493333333333334,4083512000000000.0,43.83
2021-12-17,4.4175,4158820000000000.0,32.99
2021-12-18,6.0512500000000005,4571496000000000.0,37.1
2021-12-19,14.61208333333333,3930660000000000.0,47.72
2021-12-20,16.837083333333336,4602546000000000.0,48.88
2021-12-21,22.629166666666663,3785930000000000.0,47.07
2021-12-22,25.83625,2487900000000000.0,48.51
2021-12-23,21.01375,4612472000000000.0,54.27
2021-12-24,18.69083333333333,3463560000000000.0,54.14
2021-12-25,15.307499999999996,4554340000000000.0,59.28
2021-12-26,9.552500000000002,3763720000000000.0,56.19
2021-12-27,11.175833333333337,4002670000000000.0,51.1
2021-12-28,14.58791666666667,4378940000000000.0,35.41
2021-12-29,6.809999999999999,4388308000000000.0,38.13
2021-12-30,7.997500000000001,4547404000000000.0,29.8
2021-12-31,8.692916666666667,2744340000000000.0,37.55
