date,open_NO2,sate_NO2,"GIFT City, Gandhinagar - IITM","IIPHG Lekawada, Gandhinagar - IITM"
2021-12-12,14.9875,4931322000000000.0,7.35,15.41
2021-12-13,16.405833333333337,4786040000000000.0,7.21,15.6
2021-12-14,17.00916666666667,5656876000000000.0,7.2,15.66
2021-12-15,15.43625,4773920000000000.0,7.3,15.44
2021-12-16,11.583750000000002,4514288000000000.0,7.3,15.36
2021-12-17,7.195416666666667,5825660000000000.0,7.32,15.37
2021-12-18,5.674583333333334,6268770000000000.0,7.39,15.72
2021-12-19,7.525833333333336,5621856000000000.0,7.32,15.48
2021-12-20,19.175416666666667,5395610000000000.0,7.34,15.59
2021-12-21,33.55166666666667,4594080000000000.0,7.46,15.29
2021-12-22,44.81166666666666,5455310000000000.0,7.44,15.57
2021-12-23,34.58625000000001,5899150000000000.0,7.39,15.51
2021-12-24,25.26125,4202620000000000.0,7.33,15.46
2021-12-25,24.905416666666664,8901120000000000.0,7.28,15.24
2021-12-26,20.991666666666667,5526092000000000.0,7.4,15.34
2021-12-27,19.9175,6735070000000000.0,7.23,15.4
2021-12-28,12.887499999999998,6387354000000000.0,7.34,15.21
2021-12-29,6.957916666666667,4449130000000000.0,7.37,15.41
2021-12-30,5.717500000000001,4874622000000000.0,7.24,15.39
2021-12-31,6.4724999999999975,4779870000000000.0,7.23,15.34
