date,open_NO2,sate_NO2,"Central School, Lucknow - CPCB","Gomti Nagar, Lucknow - UPPCB","Kukrail Picnic Spot-1, Lucknow - UPPCB","Lalbagh, Lucknow - CPCB","Nishant Ganj, Lucknow - UPPCB"
2021-06-26,5.62375,4291170000000000.0,29.63,11.1,29.63,18.38,29.63
2021-06-27,7.170833333333333,5188396000000000.0,15.75,12.95,15.75,17.52,15.75
2021-06-28,27.771666666666672,6639730000000000.0,51.58,13.73,51.58,16.78,51.58
2021-06-29,10.470833333333337,5161658000000000.0,50.63,23.26,50.63,15.52,50.63
2021-06-30,19.68583333333333,5274504000000000.0,74.22,37.74,74.22,25.76,74.22
2021-07-01,11.105,4972400000000000.0,45.99,18.75,45.99,21.4,45.99
2021-07-02,10.403333333333332,7750160000000000.0,25.85,14.78,25.85,14.01,25.85
2021-07-03,15.487916666666669,5005322000000000.0,39.65,14.98,39.65,26.53,39.65
2021-07-04,6.825416666666668,4876454000000000.0,49.31,14.85,49.31,40.28,49.31
2021-07-05,9.017083333333332,4964320000000000.0,48.53,15.29,48.53,42.39,48.53
2021-07-06,13.0725,5206222000000000.0,15.91,17.42,15.91,67.89,15.91
2021-07-07,13.149166666666668,4877226000000000.0,34.9,14.19,34.9,73.14,34.9
2021-07-08,18.493333333333336,3735080000000000.0,55.42,11.79,55.42,58.98,55.42
2021-07-09,7.877083333333335,4470088000000000.0,27.77,8.19,27.77,64.2,27.77
2021-07-10,6.166666666666667,4656630000000000.0,22.68,8.71,22.68,57.86,22.68
2021-07-11,6.515416666666667,5491672000000000.0,21.63,7.39,21.63,55.57,21.63
2021-07-12,6.058333333333333,5874370000000000.0,19.65,7.87,5.18,68.23,19.65
2021-07-13,4.559583333333333,4864850000000000.0,23.22,7.06,5.74,60.33,23.22
2021-07-14,5.433333333333334,6179040000000000.0,24.63,7.18,5.49,56.86,24.63
2021-07-15,6.8375,5195314000000000.0,24.15,8.33,6.27,30.41,24.15
2021-07-16,7.6125,4688850000000000.0,24.35,9.02,7.64,30.47,24.35
2021-07-17,7.947499999999999,4861736000000000.0,22.33,11.24,8.86,17.5,22.33
2021-07-18,12.09875,4669540000000000.0,23.67,8.72,7.73,15.3,23.67
2021-07-19,17.061666666666667,4379258000000000.0,22.49,12.05,8.04,36.1,22.49
2021-07-20,16.552083333333332,4367318000000000.0,23.71,10.2,7.49,51.15,23.71
2021-07-21,10.985416666666667,5184976000000000.0,22.6,10.6,4.61,48.05,22.6
2021-07-22,14.020416666666668,4324888000000000.0,24.47,9.66,3.16,42.07,24.47
2021-07-23,12.104583333333336,4954390000000000.0,21.52,15.85,4.61,22.29,21.52
2021-07-24,3.679583333333333,3304010000000000.0,19.91,11.14,4.05,21.48,19.91
2021-07-25,5.33625,6363690000000000.0,21.04,6.93,4.28,16.36,21.04
2021-07-26,12.746249999999998,5511980000000000.0,20.05,8.18,5.16,11.96,20.05
2021-07-27,12.996249999999998,5490564000000000.0,21.3,12.95,6.78,9.03,21.3
2021-07-28,11.86375,4734876000000000.0,24.06,8.99,24.06,10.08,24.06
2021-07-29,9.080416666666666,4937184000000000.0,25.1,6.88,5.98,5.99,25.1
2021-07-30,8.405416666666666,4681680000000000.0,24.71,6.76,5.0,10.16,24.71
2021-07-31,4.55375,4121992000000000.0,25.77,7.34,3.38,7.21,25.77
2021-08-01,5.475833333333333,4319670000000000.0,27.18,4.08,2.91,7.27,27.18
2021-08-02,6.006249999999999,4281372000000000.0,24.03,6.3,4.39,21.64,24.03
