date,open_NO2,sate_NO2,"JN Stadium, Shillong - Meghalaya PCB","Lumpyngngad, Shillong - Meghalaya PCB"
2021-10-22,12.060416666666669,1138230000000000.0,10.13,10.13
2021-10-23,8.300833333333335,2827736000000000.0,5.83,5.83
2021-10-24,10.58625,3345850000000000.0,6.21,6.21
2021-10-25,13.299583333333336,3500838000000000.0,10.56,10.56
2021-10-26,18.624583333333334,3215350000000000.0,10.5,10.5
2021-10-27,14.029166666666669,2710910000000000.0,8.0,8.0
2021-10-28,9.044583333333334,2497248000000000.0,8.53,8.53
2021-10-29,9.920833333333333,3430370000000000.0,7.82,7.82
2021-10-30,7.0654166666666685,2989016800000000.0,9.57,9.57
2021-10-31,9.290833333333332,3146290000000000.0,9.39,9.39
2021-11-01,11.903333333333338,2949454180000000.0,10.65,10.65
2021-11-02,14.943750000000003,3267280000000000.0,16.14,16.14
2021-11-03,11.469166666666666,4344294000000000.0,14.98,14.98
2021-11-04,14.316249999999998,2063990000000000.0,10.97,10.97
2021-11-05,12.167083333333332,3099440000000000.0,10.97,10.97
2021-11-06,6.92125,2846236000000000.0,9.38,9.38
2021-11-07,10.145599999999998,2336070000000000.0,7.35,7.35
2021-11-08,12.696666666666667,4121018000000000.0,10.0,10.0
2021-11-09,13.317916666666664,2748040000000000.0,12.49,12.49
2021-11-10,16.855,3512276000000000.0,14.77,14.77
2021-11-11,10.704166666666667,3609840000000000.0,14.45,14.45
2021-11-12,15.504166666666665,3076960000000000.0,12.3,12.3
2021-11-13,9.596249999999998,3289258000000000.0,7.44,7.44
2021-11-14,14.27708333333333,3553860000000000.0,5.77,5.77
2021-11-15,20.1675,3527930000000000.0,12.65,12.65
2021-11-16,11.28625,3325450000000000.0,12.1,12.1
2021-11-17,11.380833333333332,2987096180000000.0,11.79,11.79
2021-11-18,11.60875,3131800000000000.0,12.6,12.6
2021-11-19,14.175416666666663,3007742000000000.0,13.55,13.55
2021-11-20,11.013333333333335,3953378000000000.0,15.5,15.5
2021-11-21,9.134166666666664,3791120000000000.0,11.7,11.7
2021-11-22,3.637083333333333,3558180000000000.0,15.46,15.46
2021-11-23,14.707916666666662,2323660000000000.0,14.83,14.83
2021-11-24,14.704583333333328,3690866000000000.0,14.48,14.48
2021-11-25,16.080000000000002,3862700000000000.0,11.23,11.23
2021-11-26,15.554583333333332,3496078000000000.0,14.81,14.81
2021-11-27,7.131250000000001,2814690000000000.0,9.84,9.84
2021-11-28,9.585,2085740000000000.0,7.62,7.62
2021-11-29,10.683333333333332,2849978000000000.0,12.24,12.24
2021-11-30,10.119583333333336,2096380000000000.0,13.71,13.71
2021-12-01,14.62375,3401598000000000.0,10.61,10.61
