date,open_SO2,sate_SO2,"Kariavattom, Thiruvananthapuram - Kerala PCB","Plammoodu, Thiruvananthapuram - Kerala PCB"
2021-10-30,1.2337499999999997,-0.0339793442,10.93,10.93
2021-10-31,2.9570833333333337,0.0034433047999999,7.04,7.04
2021-11-01,3.282916666666667,0.0129110068,2.66,7.79
2021-11-02,3.943333333333333,-0.243384436,3.37,7.3
2021-11-03,2.2291666666666665,0.0568268264,2.42,10.88
2021-11-04,0.4095833333333333,-0.0163660698,3.28,9.14
2021-11-05,0.6320833333333334,-0.0300300629999999,1.44,9.33
2021-11-06,1.4141666666666666,0.1251986162,2.15,9.74
2021-11-07,1.2424000000000002,0.0614559756,2.38,10.26
2021-11-08,4.094166666666667,0.1074705304,3.21,9.23
2021-11-09,7.597916666666667,0.0244167421999999,1.42,10.46
2021-11-10,4.494166666666667,0.1035750776,2.39,9.31
2021-11-11,0.4370833333333333,0.0697392896,3.69,10.36
2021-11-12,0.2970833333333333,-0.0322266299999999,3.37,8.95
2021-11-13,0.4991666666666666,0.0408569924,1.76,9.07
2021-11-14,0.455,-0.0037966,2.88,8.48
2021-11-15,0.5704166666666666,0.0786571478,3.33,8.89
2021-11-16,2.9412500000000006,-0.239999995,2.16,8.93
2021-11-17,3.2550000000000003,0.040022142,3.06,10.17
2021-11-18,1.35,0.094895246,3.83,8.22
2021-11-19,0.5391666666666667,0.0066392041999999,1.4,7.08
2021-11-20,0.6716666666666665,-0.247655302,1.38,7.12
2021-11-21,2.3695833333333334,0.0829956192,3.61,10.34
2021-11-22,5.207083333333333,0.07327136,2.15,8.12
2021-11-23,5.125833333333334,0.092575437,2.05,10.34
2021-11-24,2.834583333333333,-0.0016298985999999,1.61,8.05
2021-11-25,4.5825000000000005,0.0131292931999999,1.6,11.32
2021-11-26,7.602916666666668,0.0377845721999999,3.26,10.12
2021-11-27,3.335416666666667,-0.01,3.16,8.51
2021-11-28,3.210416666666667,0.0390321488,0.55,7.45
2021-11-29,5.837083333333335,0.0198967718,0.97,8.83
2021-11-30,7.527083333333331,0.0341560096,1.46,11.12
2021-12-01,6.096666666666668,0.054904272,3.29,8.57
2021-12-02,5.436666666666667,0.203312322,1.16,9.47
2021-12-03,3.635833333333333,-0.050000001,1.52,8.43
2021-12-04,3.7716666666666665,-0.0156966224,1.76,8.62
2021-12-05,4.291250000000001,-0.0268937859999999,1.32,8.97
2021-12-06,7.625833333333333,-0.153200209,1.5,8.24
