date,open_NO2,sate_NO2,"Bapuji Nagar, Bengaluru - KSPCB","BTM Layout, Bengaluru - CPCB","BWSSB Kadabesanahalli, Bengaluru - CPCB","City Railway Station, Bengaluru - KSPCB","Hebbal, Bengaluru - KSPCB","Hombegowda Nagar, Bengaluru - KSPCB","Jayanagar 5th Block, Bengaluru - KSPCB","Peenya, Bengaluru - CPCB","Sanegurava Halli, Bengaluru - KSPCB","Silk Board, Bengaluru - KSPCB"
2021-05-01,12.035416666666665,4999500000000000.0,11.55,4.4,66.81,23.38,15.1,10.32,24.91,17.23,12.47,26.75
2021-05-02,11.308333333333332,4654720000000000.0,8.5,4.86,67.35,22.1,11.0,7.52,22.32,15.23,13.18,6.83
2021-05-03,24.144583333333333,4685700000000000.0,10.86,5.28,17.51,22.45,15.07,24.15,24.15,16.73,12.73,17.51
2021-05-04,33.33833333333334,3481820000000000.0,12.22,5.28,17.78,22.44,13.27,24.2,24.2,17.02,13.07,17.78
2021-05-05,27.836250000000003,4424490000000000.0,12.81,5.28,18.98,22.14,15.33,24.71,24.71,17.09,12.5,18.98
2021-05-06,16.306250000000002,4558298000000000.0,10.8,5.28,17.68,22.49,14.4,15.9,25.01,15.87,12.42,17.68
2021-05-07,19.48625,3900980000000000.0,10.39,23.13,65.67,22.25,14.93,10.39,24.54,16.75,12.91,18.46
2021-05-08,10.613750000000003,4701618000000000.0,9.73,55.55,65.51,22.38,13.62,8.28,22.71,15.44,22.38,18.51
2021-05-09,13.75625,3631410000000000.0,8.24,55.57,66.0,22.47,12.47,7.87,25.81,14.7,12.95,18.95
2021-05-10,27.874583333333337,2250750000000000.0,10.81,50.54,61.55,22.47,11.17,10.69,25.06,14.04,12.73,17.79
2021-05-11,28.91125000000001,5230180000000000.0,9.42,47.7,57.34,22.8,9.6,11.11,24.34,14.46,22.8,17.43
2021-05-12,21.25291666666666,4618410000000000.0,10.84,47.75,16.24,22.36,9.2,10.29,22.48,14.16,12.67,16.24
2021-05-13,30.77541666666666,3676018000000000.0,9.93,47.7,17.17,22.55,10.44,9.87,22.58,14.62,12.34,17.17
2021-05-14,12.303333333333333,4424170000000000.0,8.02,47.72,47.72,22.49,10.66,7.84,22.85,13.1,12.67,47.72
2021-05-15,11.777916666666668,4568482000000000.0,4.57,47.78,47.78,22.57,9.52,5.97,21.8,11.11,12.66,47.78
2021-05-16,12.978333333333332,4716906000000000.0,4.83,47.7,47.7,22.53,6.94,5.6,20.37,11.37,22.53,47.7
2021-05-17,14.602083333333333,3538800000000000.0,7.62,47.65,47.65,22.79,7.55,6.65,20.83,11.91,12.88,47.65
2021-05-18,10.362916666666663,5068350000000000.0,8.2,47.72,47.72,22.36,7.78,6.93,20.95,11.83,12.82,47.72
2021-05-19,13.19791666666667,4386780000000000.0,8.22,47.67,47.67,22.13,6.74,6.1,20.37,11.3,12.7,47.67
2021-05-20,20.14875,3056100000000000.0,9.94,47.7,10.64,22.42,6.68,6.6,20.98,11.77,22.42,10.64
2021-05-21,17.965416666666673,3303060000000000.0,12.04,47.57,9.69,22.68,8.33,8.28,21.17,12.21,12.9,9.69
2021-05-22,11.728333333333332,4583262000000000.0,12.5,47.6,26.02,22.44,7.6,7.7,21.32,13.16,22.44,26.02
2021-05-23,14.35416666666667,3429870000000000.0,7.89,41.72,25.26,7.89,6.35,6.41,20.48,12.83,6.41,25.26
2021-05-24,13.338333333333331,4366078000000000.0,9.47,19.63,23.69,21.87,5.81,7.2,20.51,12.6,21.87,23.69
2021-05-25,14.287083333333328,4311250000000000.0,8.91,23.06,28.16,22.62,6.51,6.97,20.35,12.98,22.62,30.12
2021-05-26,8.712083333333334,4746390000000000.0,10.19,29.34,26.78,22.4,6.24,7.11,20.46,13.97,12.63,28.61
2021-05-27,8.712916666666667,2880530000000000.0,10.72,29.31,26.69,22.86,6.88,7.2,20.43,14.22,12.61,25.48
2021-05-28,10.355416666666668,3574960000000000.0,10.0,29.28,26.82,22.63,7.14,12.31,15.46,13.97,12.2,26.44
2021-05-29,8.455833333333333,3848542000000000.0,9.26,29.25,27.39,22.3,6.26,12.68,11.02,13.47,12.38,27.53
2021-05-30,7.885833333333334,3515500000000000.0,6.88,29.21,27.31,22.88,5.44,8.19,11.05,12.64,12.57,31.24
2021-05-31,10.811666666666667,4283086000000000.0,8.64,29.21,26.89,23.1,5.95,8.24,10.79,13.94,12.66,27.8
2021-06-01,18.97541666666667,2731080000000000.0,8.88,29.22,26.88,22.83,6.25,10.39,10.74,12.94,12.75,28.51
2021-06-02,29.03208333333332,5168700000000000.0,11.52,29.26,26.84,22.93,10.42,12.03,13.11,14.47,12.63,29.13
2021-06-03,32.02375,2957620000000000.0,16.46,29.24,27.03,22.41,11.11,13.91,16.35,15.31,13.31,29.69
2021-06-04,25.76958333333333,4655830000000000.0,12.3,29.22,27.17,23.02,13.06,13.98,15.15,14.76,13.37,26.63
2021-06-05,15.44041666666667,3684200000000000.0,9.64,29.82,27.13,22.41,7.64,6.91,11.94,14.51,13.15,29.47
2021-06-06,15.241666666666667,3591250000000000.0,9.52,29.59,27.12,22.83,6.44,6.05,11.09,14.01,13.42,31.45
2021-06-07,13.50291666666667,5175670000000000.0,12.34,29.59,26.98,22.24,7.78,8.6,12.6,15.99,13.15,25.44
2021-06-08,12.077916666666663,3376840000000000.0,9.5,29.92,26.59,22.74,7.05,7.43,11.98,16.08,13.29,42.34
2021-06-09,9.336666666666664,4572546000000000.0,8.85,29.71,26.64,23.19,6.58,7.14,11.37,15.76,12.92,35.6
2021-06-10,9.59291666666667,4421700000000000.0,8.9,29.67,26.61,22.97,7.19,6.95,11.69,15.68,12.71,37.67
2021-06-11,8.900416666666667,1637100000000000.0,8.44,29.6,26.64,69.58,6.58,6.93,11.41,15.72,12.9,36.2
2021-06-12,5.730833333333333,3756948000000000.0,8.61,29.65,26.62,280.9,6.35,7.06,11.23,15.32,12.75,35.44
2021-06-13,6.430416666666666,4017718000000000.0,7.04,29.59,26.66,13.16,6.13,6.56,10.99,14.5,13.16,33.12
