date,open_SO2,sate_SO2,"Manoharpur, Agra - UPPCB","Rohta, Agra - UPPCB","Sanjay Palace, Agra - UPPCB","Sector-3B Avas Vikas Colony, Agra - UPPCB","Shahjahan Garden, Agra - UPPCB","Shastripuram, Agra - UPPCB"
2021-06-08,6.15375,-0.075005561,6.0,5.22,5.22,5.22,5.22,5.22
2021-06-09,11.29125,-0.0487340627999999,5.62,5.04,5.04,5.04,5.04,5.04
2021-06-10,13.609999999999998,0.0623414739999999,1.14,5.06,5.06,5.06,5.06,5.06
2021-06-11,10.424166666666668,-0.3221688546,1.19,5.01,5.01,1.81,5.01,1.81
2021-06-12,6.733750000000001,0.031984434,6.31,5.1,5.1,3.65,5.1,3.65
2021-06-13,7.037083333333334,0.078031123,7.12,4.63,4.63,5.76,4.63,5.76
2021-06-14,17.38708333333333,0.228718042,6.27,5.15,5.15,5.79,5.15,5.79
2021-06-15,12.18625,-0.096932188,7.62,5.41,5.41,5.79,5.41,5.79
2021-06-16,12.180833333333334,-0.0087908178,7.18,5.0,5.0,5.88,5.0,5.88
2021-06-17,10.228333333333332,-0.189999998,6.96,5.23,5.23,5.99,5.23,5.99
2021-06-18,8.570833333333331,-0.0017252309999999,7.44,5.14,5.14,6.1,5.14,6.1
2021-06-19,9.057083333333331,0.2275411606,7.69,5.2,5.2,6.24,5.2,2.48
2021-06-20,9.76625,0.2391560704,4.64,5.08,5.08,6.29,5.08,2.4
2021-06-21,13.232916666666668,-0.031292855,5.86,5.1,5.1,6.27,5.1,2.26
2021-06-22,17.24583333333333,0.123730198,5.5,5.4,5.4,6.35,5.4,2.0
2021-06-23,10.771666666666665,-0.066086344,8.6,5.35,5.35,6.36,5.35,2.05
2021-06-24,11.14666666666667,0.0110400152,9.14,4.96,4.96,6.46,4.96,2.16
2021-06-25,13.064583333333331,-0.2588256596,3.48,5.57,5.57,6.64,5.57,2.15
2021-06-26,9.154166666666669,-0.0326585244,3.7,5.15,5.15,6.99,5.15,2.28
2021-06-27,8.563749999999999,0.1627059742,4.11,5.07,5.07,7.0,5.07,2.46
2021-06-28,10.950833333333334,-0.126082256,3.16,5.13,5.13,6.99,5.13,2.68
2021-06-29,9.657083333333334,0.244945541,3.33,5.12,5.12,7.02,5.12,2.88
