date,open_NO2,sate_NO2,"Solapur, Solapur - MPCB"
2021-10-12,10.63,5602310000000000.0,10.14
2021-10-13,7.805000000000001,4060436000000000.0,8.46
2021-10-14,7.358333333333334,3780166000000000.0,9.52
2021-10-15,5.9725,3884620000000000.0,8.27
2021-10-16,5.307083333333333,3842776000000000.0,8.06
2021-10-17,4.2775,5473480000000000.0,8.7
2021-10-18,4.973333333333333,4351112000000000.0,7.36
2021-10-19,7.994166666666665,3216780000000000.0,12.45
2021-10-20,4.255416666666667,3601212000000000.0,19.41
2021-10-21,4.935416666666667,3574310000000000.0,19.15
2021-10-22,5.196666666666666,3880704000000000.0,18.63
2021-10-23,6.111666666666667,4348020000000000.0,14.29
2021-10-24,5.308750000000001,4182410000000000.0,14.11
2021-10-25,4.80375,4317564000000000.0,17.22
2021-10-26,3.65375,4020490000000000.0,19.6
2021-10-27,3.474166666666666,3558910000000000.0,19.8
2021-10-28,2.86125,3064130000000000.0,19.19
2021-10-29,2.5304166666666665,4062704000000000.0,21.02
2021-10-30,2.8837500000000005,3373630000000000.0,21.81
2021-10-31,3.4650000000000003,3287198000000000.0,24.29
2021-11-01,4.517916666666667,4807346000000000.0,22.12
2021-11-02,6.4675,3837110000000000.0,22.67
2021-11-03,6.382083333333334,4217182000000000.0,21.62
2021-11-04,10.859583333333331,3816812000000000.0,23.52
2021-11-05,9.717916666666667,3735952000000000.0,27.38
2021-11-06,9.768333333333333,3688510000000000.0,25.83
2021-11-07,7.2456,3796858000000000.0,26.18
2021-11-08,4.569166666666666,4239340000000000.0,40.17
2021-11-09,4.68125,4768920000000000.0,30.0
2021-11-10,3.3137499999999998,4210586000000000.0,50.58
2021-11-11,3.818333333333333,3130650000000000.0,52.12
2021-11-12,2.9325,2979494000000000.0,14.7
2021-11-13,3.93125,3905676000000000.0,14.6
2021-11-14,5.91875,3790612000000000.0,14.7
2021-11-15,6.125416666666665,3982362000000000.0,14.69
2021-11-16,6.9025,3584002000000000.0,14.79
2021-11-17,6.607083333333333,4186988000000000.0,45.96
2021-11-18,16.43916666666667,5596870000000000.0,45.98
2021-11-19,4.775,5463720000000000.0,36.36
2021-11-20,5.862916666666668,3879360000000000.0,29.21
2021-11-21,7.090833333333332,3652220000000000.0,32.54
2021-11-22,9.0,4073994000000000.0,39.12
2021-11-23,13.96125,3166166000000000.0,36.81
2021-11-24,11.9075,4275760000000000.0,37.79
2021-11-25,8.0425,4662040000000000.0,44.32
2021-11-26,11.622083333333334,4503890000000000.0,49.34
2021-11-27,6.340000000000001,1962800000000000.0,50.5
2021-11-28,8.11125,3565396000000000.0,50.2
2021-11-29,7.589583333333333,4489748000000000.0,49.33
2021-11-30,9.495,3734568000000000.0,45.15
2021-12-01,7.312500000000001,3925322000000000.0,40.71
2021-12-02,8.534999999999998,4122164000000000.0,38.14
2021-12-03,6.5687500000000005,3823552000000000.0,34.46
2021-12-04,8.460416666666669,5871680000000000.0,32.87
2021-12-05,6.874583333333334,3959260000000000.0,36.91
2021-12-06,12.344166666666665,3583200000000000.0,38.83
2021-12-07,8.179166666666665,3708880000000000.0,38.51
2021-12-08,16.805000000000003,3523914000000000.0,37.3
2021-12-09,10.57708333333333,3526600000000000.0,39.06
2021-12-10,6.8525,4015552000000000.0,47.53
2021-12-11,12.84208333333333,3418140000000000.0,47.39
2021-12-12,11.6725,3625558000000000.0,40.56
2021-12-13,18.716249999999995,4606670000000000.0,42.08
2021-12-14,13.710833333333332,4261634000000000.0,43.12
2021-12-15,12.79875,3393416000000000.0,47.52
2021-12-16,7.0275,3344854000000000.0,44.03
2021-12-17,5.770833333333333,3897360000000000.0,37.79
2021-12-18,3.814166666666667,4270132000000000.0,41.45
2021-12-19,4.53625,4448860000000000.0,39.09
2021-12-20,8.42625,5648060000000000.0,41.81
2021-12-21,14.98708333333333,4073970000000000.0,44.28
2021-12-22,21.109583333333337,4492480000000000.0,40.65
2021-12-23,24.27416666666667,3858520000000000.0,43.95
2021-12-24,23.675833333333333,3524180000000000.0,40.96
2021-12-25,12.206666666666663,4514104000000000.0,40.33
2021-12-26,10.035833333333334,3801670000000000.0,38.85
2021-12-27,7.529583333333334,6154170000000000.0,38.98
2021-12-28,7.031666666666667,3722682000000000.0,38.25
2021-12-29,8.386666666666667,3969330000000000.0,43.4
2021-12-30,5.743333333333333,3683062000000000.0,40.58
2021-12-31,6.845416666666668,2048300000000000.0,38.88
