date,open_SO2,sate_SO2,"Civil Lines, Bareilly - UPPCB","Rajendra Nagar, Bareilly - UPPCB"
2021-10-26,8.7275,-0.1612565246,10.05,15.88
2021-10-27,11.687083333333335,0.47071439,10.2,18.34
2021-10-28,16.133749999999996,-0.041747931,10.39,21.29
2021-10-29,13.678333333333333,0.0492974068,10.38,19.58
2021-10-30,11.029583333333331,0.176565722,10.5,19.84
2021-10-31,16.58875,0.0558886616,10.98,24.8
2021-11-01,18.28375,0.161964148,11.01,21.26
2021-11-02,35.8175,0.1236906706,10.84,20.59
2021-11-03,17.299583333333334,0.0746673733999999,10.8,18.45
2021-11-04,21.82,0.0488919353999999,10.92,30.17
2021-11-05,13.98,0.340000004,10.95,28.87
2021-11-06,8.624583333333332,0.24401556,11.56,23.74
2021-11-07,16.546000000000003,0.0773409062,11.8,20.55
2021-11-08,17.177083333333332,0.119837195,12.98,22.87
2021-11-09,17.142916666666668,0.0455615588,12.17,22.15
2021-11-10,25.95708333333333,0.050255511,3.42,3.42
2021-11-11,24.726249999999997,-0.0478692322,3.13,3.13
2021-11-12,19.61583333333333,0.110666804,2.73,2.73
2021-11-13,18.73666666666666,0.186591759,2.97,2.97
2021-11-14,19.142916666666668,0.0899503866,2.6,2.6
2021-11-15,16.933333333333334,0.409121484,3.2,3.2
2021-11-16,23.88083333333334,0.0189975782,3.01,3.01
2021-11-17,28.014166666666664,-0.561926603,2.8,2.8
2021-11-18,16.647916666666664,0.1593099868,2.97,2.97
2021-11-19,11.17041666666667,0.2034278274,2.75,2.75
2021-11-20,12.1725,0.050695881,2.92,2.92
2021-11-21,18.28833333333333,0.716578424,3.07,3.07
2021-11-22,17.01666666666667,0.11417076,2.92,2.92
2021-11-23,15.259583333333332,-0.003983912,3.19,3.19
2021-11-24,17.612499999999997,-0.009940508,3.9,3.9
2021-11-25,16.36625,0.0669180827999999,4.25,4.25
2021-11-26,35.93208333333333,-0.02,3.8,3.8
2021-11-27,25.08791666666667,0.0392349937999999,3.53,3.53
2021-11-28,13.483333333333334,-0.057580426,3.78,3.78
2021-11-29,16.706666666666667,0.126436114,4.03,4.03
2021-11-30,25.89333333333333,0.4501382684,3.54,3.54
2021-12-01,12.375833333333334,-0.1319734598,4.49,4.49
2021-12-02,14.17125,0.1299829202,3.8,3.8
2021-12-03,20.530833333333337,0.1229717626,4.09,4.09
2021-12-04,9.473333333333333,0.0858317876,4.37,4.37
2021-12-05,14.187916666666665,0.1830848886,4.22,4.22
2021-12-06,16.167916666666667,-0.0450083404,4.11,4.11
2021-12-07,10.12791666666667,0.05482474819850375,4.04,4.04
2021-12-08,17.652916666666663,-0.1657646,4.18,4.18
2021-12-09,22.655,-0.0059176448,4.4,4.4
2021-12-10,16.981250000000003,0.011138187,17.47,17.47
2021-12-11,12.329583333333332,0.0278739606,13.68,13.68
2021-12-12,33.51333333333333,0.323333323,3.24,3.24
2021-12-13,26.89333333333333,-0.2479804483999999,3.84,3.84
2021-12-14,18.835,-0.846503139,3.6,3.6
2021-12-15,13.263749999999996,0.15527308,3.16,3.16
2021-12-16,29.42333333333333,0.0714490166,2.58,2.58
2021-12-17,13.302500000000002,0.058549247,1.79,1.79
2021-12-18,10.073333333333332,0.223345658,2.14,2.14
2021-12-19,8.379583333333331,-0.222438157,2.56,2.56
2021-12-20,15.547083333333338,0.0688351586,3.11,3.11
2021-12-21,15.276250000000005,0.0172519392,4.36,4.36
2021-12-22,21.577916666666667,0.06,4.82,4.82
2021-12-23,27.93375,0.117277086,3.49,3.49
2021-12-24,20.31041666666667,-0.06877356,3.06,3.06
2021-12-25,16.08458333333333,0.076092169,2.65,2.65
2021-12-26,12.058749999999998,0.0794531266,2.85,2.85
2021-12-27,14.89875,0.3102277934,2.3,2.3
2021-12-28,14.07416666666666,0.0477267487999999,2.67,2.67
2021-12-29,12.258333333333333,0.1329335787999999,2.52,2.52
2021-12-30,19.014166666666664,0.0406235714,2.43,2.43
2021-12-31,16.36958333333333,-0.094506323,2.49,2.49
